Date,Day,Temperature (°C),Weather Condition,Humidity (%),Wind Speed (km/h),Rain Chance (%),Remarks
2025-07-01,Tuesday,27/34,Windy,57,16,67,Secure loose items
2025-07-02,Wednesday,22/37,Thunderstorm,52,5,44,Stay indoors
2025-07-03,Thursday,26/35,Rainy,72,14,24,Carry umbrella
2025-07-04,Friday,22/33,Thunderstorm,47,5,14,Stay indoors
2025-07-05,Saturday,20/31,Thunderstorm,46,19,19,Stay indoors
2025-07-06,Sunday,29/36,Cloudy,58,10,90,Mild weather
2025-07-07,Monday,27/35,Rainy,47,21,4,Carry umbrella
2025-07-08,Tuesday,26/34,Cloudy,81,15,9,Mild weather
2025-07-09,Wednesday,23/34,Sunny,75,9,2,Good for outdoor activity
2025-07-10,Thursday,28/31,Thunderstorm,60,6,88,Stay indoors
2025-07-11,Friday,23/35,Sunny,89,12,1,Good for outdoor activity
2025-07-12,Saturday,27/32,Windy,98,15,53,Secure loose items
2025-07-13,Sunday,23/38,Thunderstorm,51,15,24,Stay indoors
2025-07-14,Monday,20/34,Windy,76,20,14,Secure loose items
2025-07-15,Tuesday,29/32,Windy,72,13,80,Secure loose items
2025-07-16,Wednesday,21/39,Rainy,95,19,7,Carry umbrella
2025-07-17,Thursday,26/33,Rainy,88,6,44,Carry umbrella
2025-07-18,Friday,29/39,Cloudy,65,12,98,Mild weather
2025-07-19,Saturday,29/35,Thunderstorm,70,9,88,Stay indoors
2025-07-20,Sunday,27/31,Thunderstorm,62,7,5,Stay indoors
2025-07-21,Monday,29/39,Windy,77,7,33,Secure loose items
2025-07-22,Tuesday,25/38,Sunny,81,13,83,Good for outdoor activity
2025-07-23,Wednesday,28/38,Windy,65,16,2,Secure loose items
2025-07-24,Thursday,26/38,Sunny,91,22,69,Good for outdoor activity
2025-07-25,Friday,21/37,Sunny,56,17,5,Good for outdoor activity
2025-07-26,Saturday,22/38,Thunderstorm,64,20,30,Stay indoors
2025-07-27,Sunday,28/33,Sunny,95,12,65,Good for outdoor activity
2025-07-28,Monday,28/32,Cloudy,85,21,90,Mild weather
2025-07-29,Tuesday,25/30,Thunderstorm,57,21,9,Stay indoors
2025-07-30,Wednesday,21/39,Rainy,71,21,85,Carry umbrella
2025-07-31,Thursday,27/33,Rainy,90,17,23,Carry umbrella
2025-08-01,Friday,28/38,Rainy,49,15,86,Carry umbrella
2025-08-02,Saturday,29/32,Cloudy,70,24,16,Mild weather
2025-08-03,Sunday,20/30,Windy,54,22,13,Secure loose items
